Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-02-08,Rabu,2,2023,4,0,0,122,1920000
2023-02-08,Rabu,2,2023,5,0,0,70,1967000
2023-02-09,Kamis,2,2023,1,0,0,80,1189000
2023-02-09,Kamis,2,2023,2,0,0,82,1746000
2023-02-09,Kamis,2,2023,3,0,0,66,1778000
2023-02-09,Kamis,2,2023,4,0,0,122,1880000
2023-02-09,Kamis,2,2023,5,0,0,70,1942000
2023-02-10,Jumat,2,2023,1,0,0,80,1140000
2023-02-10,Jumat,2,2023,2,0,0,82,1700000
2023-02-10,Jumat,2,2023,3,0,0,66,1780000
2023-02-10,Jumat,2,2023,4,0,0,122,1890000
2023-02-10,Jumat,2,2023,5,0,0,70,1944000
2023-02-11,Sabtu,2,2023,1,1,0,80,825000
2023-02-11,Sabtu,2,2023,2,1,0,82,1725000
2023-02-11,Sabtu,2,2023,3,1,0,66,1763000
2023-02-11,Sabtu,2,2023,4,1,0,122,1288000
2023-02-11,Sabtu,2,2023,5,1,0,70,1940000
2023-02-12,Minggu,2,2023,1,1,0,80,125000
2023-02-12,Minggu,2,2023,2,1,0,82,600000
2023-02-12,Minggu,2,2023,3,1,0,66,143000
2023-02-12,Minggu,2,2023,4,1,0,122,665000
2023-02-12,Minggu,2,2023,5,1,0,70,180000
2023-02-13,Senin,2,2023,1,0,0,80,948000
2023-02-13,Senin,2,2023,2,0,0,82,1706000
2023-02-13,Senin,2,2023,3,0,0,66,1689000
2023-02-13,Senin,2,2023,4,0,0,122,1833000
2023-02-13,Senin,2,2023,5,0,0,70,1895000
2023-02-14,Selasa,2,2023,1,0,0,80,1162000
2023-02-14,Selasa,2,2023,2,0,0,82,1710000
2023-02-14,Selasa,2,2023,3,0,0,66,1724000
2023-02-14,Selasa,2,2023,4,0,0,122,1911000
2023-02-14,Selasa,2,2023,5,0,0,70,1910000
2023-02-15,Rabu,2,2023,1,0,0,80,880000
2023-02-15,Rabu,2,2023,2,0,0,82,1500000
2023-02-15,Rabu,2,2023,3,0,0,66,1633000
2023-02-15,Rabu,2,2023,4,0,0,122,1738000
2023-02-15,Rabu,2,2023,5,0,0,70,1779000
2023-02-16,Kamis,2,2023,1,0,0,80,884000
2023-02-16,Kamis,2,2023,2,0,0,82,1680000
2023-02-16,Kamis,2,2023,3,0,0,66,1705000
2023-02-16,Kamis,2,2023,4,0,0,122,1788000
2023-02-16,Kamis,2,2023,5,0,0,70,1786000
2023-02-17,Jumat,2,2023,1,0,0,80,1070000
2023-02-17,Jumat,2,2023,2,0,0,82,1723000
2023-02-17,Jumat,2,2023,3,0,0,66,1735000
2023-02-17,Jumat,2,2023,4,0,0,122,1790000
2023-02-17,Jumat,2,2023,5,0,0,70,1951000
2023-02-18,Sabtu,2,2023,1,1,0,80,690000
2023-02-18,Sabtu,2,2023,2,1,0,82,1101000
2023-02-18,Sabtu,2,2023,3,1,0,66,1553000
2023-02-18,Sabtu,2,2023,4,1,0,122,904000
2023-02-18,Sabtu,2,2023,5,1,0,70,985000
2023-02-19,Minggu,2,2023,1,1,0,80,100000
2023-02-19,Minggu,2,2023,2,1,0,82,600000
2023-02-19,Minggu,2,2023,3,1,0,66,179000
2023-02-19,Minggu,2,2023,4,1,0,122,786000
2023-02-19,Minggu,2,2023,5,1,0,70,165000
2023-02-20,Senin,2,2023,1,0,0,80,970000
2023-02-20,Senin,2,2023,2,0,0,82,1670000
2023-02-20,Senin,2,2023,3,0,0,66,1619000
2023-02-20,Senin,2,2023,4,0,0,122,1670000
2023-02-20,Senin,2,2023,5,0,0,70,1864000
2023-02-21,Selasa,2,2023,1,0,0,80,1094000
2023-02-21,Selasa,2,2023,2,0,0,82,1712000
2023-02-21,Selasa,2,2023,3,0,0,66,1672000
2023-02-21,Selasa,2,2023,4,0,0,122,1813000
2023-02-21,Selasa,2,2023,5,0,0,70,1920000
2023-02-22,Rabu,2,2023,1,0,0,80,1096000
2023-02-22,Rabu,2,2023,2,0,0,82,1701000
2023-02-22,Rabu,2,2023,3,0,0,66,1680000
2023-02-22,Rabu,2,2023,4,0,0,122,1899000
2023-02-22,Rabu,2,2023,5,0,0,70,1938000
2023-02-23,Kamis,2,2023,1,0,0,80,1142000
2023-02-23,Kamis,2,2023,2,0,0,82,1730000
2023-02-23,Kamis,2,2023,3,0,0,66,1709000
